"Navigate","Previous Page","⇧⌥F7","In Windows"
"Edit","Context Information","⇧⌃Space","In Dialogs and Windows"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Edit","Move","⇧⌥V","Editing JSP Source"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Source","Organize Imports","⇧⌘O","In Windows"
"Focused UI","Make Landmark","⇧⌥⌘↑","In Windows"
"Run/Debug","Run Eclipse Application","⇧⌘X E","In Windows"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","JavaScript View"
"Source","Surround With Quick Menu","⌃⌘Z","JavaScript View"
"JavaScript Debug","JavaScript Breakpoint Properties","⌘↩","In Breakpoints View"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Navigate","Previous","⇧⌘.","In Windows"
"Edit","Copy","⌥W","In Dialogs and Windows"
"Task Repositories","Mark Task Complete","⇧⌥C","In Tasks Editor"
"File","Save All","⇧⌘S","In Windows"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Quick JUnit","JUnit Plug-in デバッグ","⇧⌘-","Editing Text"
"Focused UI","Make Less Interesting","⇧⌥⌘↓","In Windows"
"Text Editing","Text End","Esc >","Editing Text"
"Text Editing","Cut to Beginning of Line","⌥0 ⌃K","Editing Text"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"File","Refresh","F5","In Windows"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Edit","Select All","⌃X H","In Dialogs and Windows"
"Source","Quick Assist - Assign to var","⌘2 F","Editing JavaScript Source"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Edit","Select Next Element","⇧⌃→","Editing JavaScript Source"
"Run/Debug","EOF","⌃D","In I/O Console"
"Navigate","Show In...","⌥⌘W","In Windows"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Edit","Redo","⇧⌃+","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Text Editing","Line Down","⌃N","Editing Text"
"Refactor - Java","Extract Local Variable","⌃⌘L","In Windows"
"Uncategorized","Dump Log Sniffer Buffer ()","⇧⌃⌥Z","In Windows"
"Views","JavaScript Declaration","⌥⌘Q D","JavaScript View"
"Text Editing","Delete Next Word","⌥D","Editing Text"
"Search","Declaration in Workspace","⌘G","JavaScript View"
